"filename", "language", "Python", "Java", "Shell Script", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\.github\actions\setup-python-build-env\action.yml", "YAML", 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\.github\workflows\publish-to-pypi.yml", "YAML", 0, 0, 0, 0, 31, 0, 6, 37
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\.github\workflows\pull-request.yml", "YAML", 0, 0, 0, 0, 31, 3, 12, 46
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\Main.py", "Python", 38, 0, 0, 0, 0, 3, 19, 60
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\MyClass.java", "Java", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\comm_session_handler.py", "Python", 161, 0, 0, 0, 0, 49, 37, 247
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\cs_configuration.json", "JSON", 0, 0, 0, 18, 0, 0, 1, 19
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\failed_responses.py", "Python", 235, 0, 0, 0, 0, 236, 5, 476
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\iso15118_l\OCPP\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\iso15118_l\OCPP\ocpp_template.py", "Python", 40, 0, 0, 0, 0, 18, 13, 71
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\iso15118_l\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\iso15118_l\controller\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\iso15118_l\controller\del_simulator.py", "Python", 336, 0, 0, 0, 0, 563, 133, 1032
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\iso15118_l\controller\interface.py", "Python", 217, 0, 0, 0, 0, 265, 63, 545
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\iso15118_l\controller\v2g_interface.py", "Python", 274, 0, 0, 0, 0, 147, 75, 496
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\iso15118_l\everest\__init__.py", "Python", 0, 0, 0, 0, 0, 20, 9, 29
"c:\Users\vnekt\Desktop\IP_Daleko_and_Nadolgo\ElectroCar\ElectroCar\_V2G_PYTHON\iso15118_l\everest\charger_state.py", "Python", 0, 0, 0, 0, 0, 62, 7, 69
